YEAR,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_INCLUDING__CITY_CENTRE,CITY_CENTRE,SURREY_TOTAL
2005,46110,53360,57480,107020,67760,86600,21320,418330
2006,51110,54570,58480,111200,68570,88280,22580,432210
2007,54610,55430,59280,113090,71090,92400,26140,445900
2008,57910,55960,59600,116200,74360,93930,27550,457960
2009,61050,56390,59710,118790,75250,94170,27830,465360
2010,63680,57180,60060,122010,77620,95110,28020,475660
2011,65490,58000,60390,124980,79240,95830,28380,483930
2012,67070,59070,60840,127480,81400,97130,29320,492990
2013,68390,59460,61480,129730,82790,99660,31830,501510
2014,69900,60070,61700,131520,84340,100050,31920,507580
2015,71400,60270,62420,133510,86550,102500,,516650
2016,72870,60550,63190,135930,88630,105120,,526290
2021,81810,62990,67280,144680,100890,119940,,577590
2026,90690,65260,74350,150470,111390,137960,,630120
2031,98540,67220,83510,158750,123120,157440,,688580
2036,104330,68550,92310,167760,133240,178300,,744490
2041,107440,69260,99730,175500,138360,199250,,789540
2046,108320,69480,102120,179490,139200,219670,,818280
